,0,1,2,3
threads,1.0,1.0,1.0,1.0
ranks,1792.0,3584.0,7168.0,14336.0
all_avg_usr,436071.0,235918.0,115579.0,56650.9
all_max_usr,436640.0,236740.0,117120.0,59500.0
cores,1792.0,3584.0,7168.0,14336.0
ideal_speedup,1.0,2.0,4.0,8.0
ideal_scaleup,1.0,0.5,0.25,0.125
all_avg_wall,437670.0,236855.0,116176.0,57188.9
all_max_wall,438042.0,237566.0,117620.0,59800.0
all_avg_sys,175.558,107.706,65.0949,43.5561
all_max_sys,2680.0,1560.0,620.0,360.0
analytical_error.block_ipdg_avg_usr,218.298,131.674,76.0059,33.0783
analytical_error.block_ipdg_max_usr,220.0,140.0,80.0,40.0
analytical_error.block_ipdg_avg_wall,218.003,131.916,75.9955,33.0
analytical_error.block_ipdg_max_wall,219.0,132.0,76.0,33.0
analytical_error.block_ipdg_avg_sys,0.15625,0.0892857,0.0795201,0.0906808
analytical_error.block_ipdg_max_sys,10.0,10.0,10.0,10.0
block_ipdg.all_avg_usr,107171.0,58937.3,28677.0,13349.1
block_ipdg.all_max_usr,107230.0,58970.0,28700.0,13360.0
block_ipdg.all_avg_wall,107529.0,59125.4,28766.0,13387.9
block_ipdg.all_max_wall,107533.0,59129.0,28768.0,13390.0
block_ipdg.all_avg_sys,31.0658,13.8421,6.09515,3.25265
block_ipdg.all_max_sys,840.0,370.0,150.0,80.0
block_ipdg.discretize_avg_usr,1097.37,518.373,251.33,127.189
block_ipdg.discretize_max_usr,1210.0,670.0,360.0,180.0
block_ipdg.discretize_avg_wall,1105.68,522.413,253.308,128.113
block_ipdg.discretize_max_wall,1218.0,677.0,358.0,185.0
block_ipdg.discretize_avg_sys,5.91518,3.23103,1.78013,1.0811899999999999
block_ipdg.discretize_max_sys,30.0,20.0,20.0,20.0
block_ipdg.solve_avg_usr,106074.0,58418.8,28425.6,13221.9
block_ipdg.solve_max_usr,106210.0,58470.0,28450.0,13240.0
block_ipdg.solve_avg_wall,106423.0,58602.4,28512.0,13259.1
block_ipdg.solve_max_wall,106511.0,58625.0,28523.0,13269.0
block_ipdg.solve_avg_sys,25.1507,10.610999999999999,4.313619999999999,2.1714599999999997
block_ipdg.solve_max_sys,840.0,360.0,150.0,80.0
ipdg.all_avg_usr,110337.0,58534.6,28383.6,13575.4
ipdg.all_max_usr,110420.0,58610.0,28480.0,13750.0
ipdg.all_avg_wall,110769.0,58807.8,28586.5,13798.0
ipdg.all_max_wall,110774.0,58812.0,28589.0,13800.0
ipdg.all_avg_sys,48.403999999999996,34.1964,22.0508,14.3708
ipdg.all_max_sys,550.0,400.0,190.0,100.0
ipdg.discretize_avg_usr,639.967,309.944,152.261,77.3779
ipdg.discretize_max_usr,900.0,430.0,230.0,110.0
ipdg.discretize_avg_wall,661.4939999999999,320.949,157.82399999999998,80.1834
ipdg.discretize_max_wall,913.0,442.0,227.0,116.0
ipdg.discretize_avg_sys,20.2511,10.8231,5.46735,2.9813099999999997
ipdg.discretize_max_sys,50.0,30.0,30.0,30.0
ipdg.solve_avg_usr,109659.0,58184.8,28162.7,13382.2
ipdg.solve_max_usr,109750.0,58250.0,28210.0,13430.0
ipdg.solve_avg_wall,110069.0,58446.2,28359.2,13600.9
ipdg.solve_max_wall,110108.0,58487.0,28412.0,13694.0
ipdg.solve_avg_sys,27.9855,23.1864,16.4076,11.1628
ipdg.solve_max_sys,540.0,390.0,170.0,90.0
single_run_avg_usr,218036.0,117959.0,57789.6,28325.4
single_run_max_usr,218320.0,118370.0,58560.0,29750.0
single_run_avg_wall,218835.0,118428.0,58087.9,28594.4
single_run_max_wall,219021.0,118783.0,58810.0,29900.0
single_run_avg_sys,87.7679,53.8365,32.5251,21.7585
single_run_max_sys,1340.0,780.0,310.0,180.0
grids.total_fine_cells,7929856.0,7929856.0,7929856.0,7929856.0
grids.total_macro_cells,7929856.0,7929856.0,7929856.0,7929856.0
global.maxPeakMemoryConsumption,204744.0,173448.0,164616.0,158428.0
global.meanPeakMemoryConsumption,131838.0,101158.0,90236.0,87178.0
ipdg.solve_max_usr_speedup,1.0,1.884,3.89,8.172
ipdg.solve_max_usr_abspart,1.024,0.988,0.983,1.005
ipdg.solve_max_usr_wallpart,1.021,0.985,0.981,1.003
ipdg.solve_avg_usr_speedup,1.0,1.885,3.894,8.194
ipdg.solve_avg_usr_abspart,1.023,0.987,0.982,1.002
ipdg.solve_avg_usr_wallpart,1.02,0.984,0.979,1.0
ipdg.solve_max_sys_speedup,1.0,1.385,3.176,6.0
ipdg.solve_max_sys_abspart,0.643,1.054,1.133,1.125
ipdg.solve_max_sys_wallpart,0.005,0.007,0.006,0.007
ipdg.solve_avg_sys_speedup,1.0,1.207,1.706,2.507
ipdg.solve_avg_sys_abspart,0.901,1.675,2.692,3.432
ipdg.solve_avg_sys_wallpart,0.0,0.0,0.001,0.001
ipdg.solve_max_wall_speedup,1.0,1.883,3.875,8.041
ipdg.solve_max_wall_abspart,1.024,0.989,0.988,1.023
ipdg.solve_max_wall_wallpart,1.024,0.989,0.988,1.023
ipdg.solve_avg_wall_speedup,1.0,1.883,3.881,8.093
ipdg.solve_avg_wall_abspart,1.024,0.989,0.986,1.016
ipdg.solve_avg_wall_wallpart,1.024,0.989,0.986,1.016
ipdg.solve_max_usr_threadeff,0.997,0.996,0.993,0.981
ipdg.solve_avg_usr_threadeff,0.996,0.996,0.993,0.984
block_ipdg.solve_max_usr_speedup,1.0,1.816,3.733,8.022
block_ipdg.solve_max_usr_abspart,0.99,0.992,0.991,0.991
block_ipdg.solve_max_usr_wallpart,0.988,0.989,0.989,0.989
block_ipdg.solve_avg_usr_speedup,1.0,1.816,3.732,8.023
block_ipdg.solve_avg_usr_abspart,0.99,0.991,0.991,0.99
block_ipdg.solve_avg_usr_wallpart,0.986,0.988,0.988,0.988
block_ipdg.solve_max_sys_speedup,1.0,2.333,5.6,10.5
block_ipdg.solve_max_sys_abspart,1.0,0.973,1.0,1.0
block_ipdg.solve_max_sys_wallpart,0.008,0.006,0.005,0.006
block_ipdg.solve_avg_sys_speedup,1.0,2.37,5.831,11.582
block_ipdg.solve_avg_sys_abspart,0.81,0.767,0.708,0.668
block_ipdg.solve_avg_sys_wallpart,0.0,0.0,0.0,0.0
block_ipdg.solve_max_wall_speedup,1.0,1.817,3.734,8.027
block_ipdg.solve_max_wall_abspart,0.99,0.991,0.991,0.991
block_ipdg.solve_max_wall_wallpart,0.99,0.991,0.991,0.991
block_ipdg.solve_avg_wall_speedup,1.0,1.816,3.733,8.026
block_ipdg.solve_avg_wall_abspart,0.99,0.991,0.991,0.99
block_ipdg.solve_avg_wall_wallpart,0.99,0.991,0.991,0.99
block_ipdg.solve_max_usr_threadeff,0.997,0.997,0.997,0.998
block_ipdg.solve_avg_usr_threadeff,0.997,0.997,0.997,0.997
block_ipdg.discretize_max_usr_speedup,1.0,1.806,3.361,6.722
block_ipdg.discretize_max_usr_abspart,0.011,0.011,0.013,0.013
block_ipdg.discretize_max_usr_wallpart,0.011,0.011,0.013,0.013
block_ipdg.discretize_avg_usr_speedup,1.0,2.117,4.366,8.628
block_ipdg.discretize_avg_usr_abspart,0.01,0.009,0.009,0.01
block_ipdg.discretize_avg_usr_wallpart,0.01,0.009,0.009,0.01
block_ipdg.discretize_max_sys_speedup,1.0,1.5,1.5,1.5
block_ipdg.discretize_max_sys_abspart,0.036,0.054,0.133,0.25
block_ipdg.discretize_max_sys_wallpart,0.0,0.0,0.001,0.001
block_ipdg.discretize_avg_sys_speedup,1.0,1.831,3.323,5.471
block_ipdg.discretize_avg_sys_abspart,0.19,0.233,0.292,0.332
block_ipdg.discretize_avg_sys_wallpart,0.0,0.0,0.0,0.0
block_ipdg.discretize_max_wall_speedup,1.0,1.799,3.402,6.584
block_ipdg.discretize_max_wall_abspart,0.011,0.011,0.012,0.014
block_ipdg.discretize_max_wall_wallpart,0.011,0.011,0.012,0.014
block_ipdg.discretize_avg_wall_speedup,1.0,2.116,4.365,8.631
block_ipdg.discretize_avg_wall_abspart,0.01,0.009,0.009,0.01
block_ipdg.discretize_avg_wall_wallpart,0.01,0.009,0.009,0.01
block_ipdg.discretize_max_usr_threadeff,0.993,0.99,1.006,0.973
block_ipdg.discretize_avg_usr_threadeff,0.992,0.992,0.992,0.993
analytical_error.block_ipdg_max_usr_speedup,1.0,1.571,2.75,5.5
analytical_error.block_ipdg_max_usr_abspart,0.002,0.002,0.003,0.003
analytical_error.block_ipdg_max_usr_wallpart,0.002,0.002,0.003,0.003
analytical_error.block_ipdg_avg_usr_speedup,1.0,1.658,2.872,6.599
analytical_error.block_ipdg_avg_usr_abspart,0.002,0.002,0.003,0.002
analytical_error.block_ipdg_avg_usr_wallpart,0.002,0.002,0.003,0.002
analytical_error.block_ipdg_max_sys_speedup,1.0,1.0,1.0,1.0
analytical_error.block_ipdg_max_sys_abspart,0.012,0.027,0.067,0.125
analytical_error.block_ipdg_max_sys_wallpart,0.0,0.0,0.0,0.001
analytical_error.block_ipdg_avg_sys_speedup,1.0,1.75,1.965,1.723
analytical_error.block_ipdg_avg_sys_abspart,0.005,0.006,0.013,0.028
analytical_error.block_ipdg_avg_sys_wallpart,0.0,0.0,0.0,0.0
analytical_error.block_ipdg_max_wall_speedup,1.0,1.659,2.882,6.636
analytical_error.block_ipdg_max_wall_abspart,0.002,0.002,0.003,0.002
analytical_error.block_ipdg_max_wall_wallpart,0.002,0.002,0.003,0.002
analytical_error.block_ipdg_avg_wall_speedup,1.0,1.653,2.869,6.606
analytical_error.block_ipdg_avg_wall_abspart,0.002,0.002,0.003,0.002
analytical_error.block_ipdg_avg_wall_wallpart,0.002,0.002,0.003,0.002
analytical_error.block_ipdg_max_usr_threadeff,1.005,1.061,1.053,1.212
analytical_error.block_ipdg_avg_usr_threadeff,1.001,0.998,1.0,1.002
block_ipdg.all_max_usr_speedup,1.0,1.818,3.736,8.026
block_ipdg.all_max_usr_abspart,1.0,1.0,1.0,1.0
block_ipdg.all_max_usr_wallpart,0.997,0.997,0.998,0.998
block_ipdg.all_avg_usr_speedup,1.0,1.818,3.737,8.028
block_ipdg.all_avg_usr_abspart,1.0,1.0,1.0,1.0
block_ipdg.all_avg_usr_wallpart,0.997,0.997,0.997,0.997
block_ipdg.all_max_sys_speedup,1.0,2.27,5.6,10.5
block_ipdg.all_max_sys_abspart,1.0,1.0,1.0,1.0
block_ipdg.all_max_sys_wallpart,0.008,0.006,0.005,0.006
block_ipdg.all_avg_sys_speedup,1.0,2.244,5.097,9.551
block_ipdg.all_avg_sys_abspart,1.0,1.0,1.0,1.0
block_ipdg.all_avg_sys_wallpart,0.0,0.0,0.0,0.0
block_ipdg.all_max_wall_speedup,1.0,1.819,3.738,8.031
block_ipdg.all_max_wall_abspart,1.0,1.0,1.0,1.0
block_ipdg.all_max_wall_wallpart,1.0,1.0,1.0,1.0
block_ipdg.all_avg_wall_speedup,1.0,1.819,3.738,8.032
block_ipdg.all_avg_wall_abspart,1.0,1.0,1.0,1.0
block_ipdg.all_avg_wall_wallpart,1.0,1.0,1.0,1.0
block_ipdg.all_max_usr_threadeff,0.997,0.997,0.998,0.998
block_ipdg.all_avg_usr_threadeff,0.997,0.997,0.997,0.997
single_run_max_usr_speedup,1.0,1.844,3.728,7.338
single_run_max_usr_abspart,2.036,2.007,2.04,2.227
single_run_max_usr_wallpart,2.03,2.002,2.036,2.222
single_run_avg_usr_speedup,1.0,1.848,3.773,7.698
single_run_avg_usr_abspart,2.034,2.001,2.015,2.122
single_run_avg_usr_wallpart,2.028,1.995,2.009,2.116
single_run_max_sys_speedup,1.0,1.718,4.323,7.444
